,device,date,hive temp,hive humidity,hive pressure,weather temp,weather humidity,weather pressure,wind speed,gust speed,weatherID,cloud coverage,rain,lat,long,file name,queen presence,queen acceptance,frames
15,2,2022-06-13 07:51:24,28.26,44.65,1010.31,14.57,73,1016,2.57,,801,20,0,37.29,-121.95,2022-06-13--07-51-24_2__segment0.wav,1,1,10
16,2,2022-06-06 20:19:29,22.91,39.32,1006.7,19.41,58,1013,5.14,,801,20,0,37.29,-121.95,2022-06-06--20-19-29_2__segment1.wav,1,2,10
17,2,2022-06-12 12:28:53,40.39,23.6,1005.11,25.8,61,1011,5.14,,803,75,0,37.29,-121.95,2022-06-12--12-28-53_2__segment0.wav,1,1,10
18,1,2022-06-09 21:46:36,26.26,40.48,1007.47,20.58,57,1013,4.12,,802,40,0,37.29,-121.95,2022-06-09--21-46-36_1__segment4.wav,1,1,8
19,1,2022-06-09 14:06:06,38.99,18.2,1006.45,30.09,34,1012,6.17,,802,40,0,37.29,-121.95,2022-06-09--14-06-06_1__segment5.wav,0,0,8
20,1,2022-06-13 22:04:26,23.02,35.02,1010.12,15.82,62,1016,3.6,,800,0,0,37.29,-121.95,2022-06-13--22-04-26_1__segment2.wav,1,2,8
21,2,2022-06-12 17:03:34,27.36,45.41,1005.19,21.99,68,1012,9.26,,803,75,0,37.29,-121.95,2022-06-12--17-03-34_2__segment4.wav,1,1,10
22,1,2022-06-10 21:41:55,26.78,46.75,1008.74,22.23,59,1016,5.66,,802,40,0,37.29,-121.95,2022-06-10--21-41-55_1__segment4.wav,1,1,8
23,2,2022-06-12 10:30:28,49.19,18.15,1004.85,24.72,61,1010,2.57,,803,75,0,37.29,-121.95,2022-06-12--10-30-28_2__segment1.wav,1,1,10
24,2,2022-06-06 03:32:49,19.76,49.97,1009.88,15.48,76,1016,4.12,,804,100,0,37.29,-121.95,2022-06-06--03-32-49_2__segment4.wav,1,2,10
25,1,2022-06-09 10:08:51,31.93,38.1,1008.18,20.36,61,1013,3.6,,803,75,0,37.29,-121.95,2022-06-09--10-08-51_1__segment3.wav,0,0,8
26,2,2022-06-09 15:04:51,35.28,20.01,1006.03,30.33,35,1012,6.69,,802,40,0,37.29,-121.95,2022-06-09--15-04-51_2__segment1.wav,0,0,10
27,2,2022-06-11 02:37:45,19.69,51.26,1007.87,18.23,73,1014,1.54,,800,0,0,37.29,-121.95,2022-06-11--02-37-45_2__segment1.wav,1,1,10
28,2,2022-06-05 19:39:14,26.52,46.6,1007.81,21.44,76,1013,6.17,,803,75,0,37.29,-121.95,2022-06-05--19-39-14_2__segment3.wav,1,2,10
29,2,2022-06-09 11:07:46,50.28,16.65,1007.1,23.74,52,1013,0.89,2.24,803,75,0,37.29,-121.95,2022-06-09--11-07-46_2__segment3.wav,0,0,10
30,2,2022-06-09 12:07:14,53.76,10.59,1006.7,27.11,40,1012,3.09,,803,75,0,37.29,-121.95,2022-06-09--12-07-14_2__segment3.wav,0,0,10
31,2,2022-06-07 20:00:55,22.81,33.93,1008.68,19.46,43,1015,3.6,8.23,800,0,0,37.29,-121.95,2022-06-07--20-00-55_2__segment0.wav,1,2,10
32,2,2022-06-07 17:03:33,27.21,34.45,1008.0,24.45,46,1013,9.77,,803,75,0,37.29,-121.95,2022-06-07--17-03-33_2__segment2.wav,1,2,10
33,1,2022-06-10 07:39:02,25.48,53.33,1008.18,21.1,62,1014,1.54,,711,20,0,37.29,-121.95,2022-06-10--07-39-02_1__segment4.wav,1,1,8
34,2,2022-06-10 10:37:17,53.66,11.04,1007.86,29.85,41,1014,2.57,,801,20,0,37.29,-121.95,2022-06-10--10-37-17_2__segment2.wav,1,1,10
35,2,2022-06-13 01:55:53,17.72,42.44,1008.0,12.67,77,1014,1.34,2.24,800,3,0,37.29,-121.95,2022-06-13--01-55-53_2__segment1.wav,1,1,10
36,1,2022-06-08 21:18:22,25.02,45.67,1007.11,17.02,73,1013,4.12,7.2,802,40,0,37.29,-121.95,2022-06-08--21-18-22_1__segment0.wav,0,0,8
37,1,2022-06-11 04:35:57,20.07,62.35,1008.33,16.81,77,1014,0.45,0.89,800,0,0,37.29,-121.95,2022-06-11--04-35-57_1__segment3.wav,1,1,8
38,2,2022-06-10 07:39:02,28.35,45.59,1007.96,21.1,62,1014,1.54,,711,20,0,37.29,-121.95,2022-06-10--07-39-02_2__segment1.wav,1,1,10
39,2,2022-06-09 07:10:29,21.38,52.66,1007.1,13.28,85,1013,0.89,1.79,803,75,0,37.29,-121.95,2022-06-09--07-10-29_2__segment4.wav,0,0,10
40,2,2022-06-10 00:44:16,21.27,45.4,1007.12,18.21,67,1013,1.54,,800,0,0,37.29,-121.95,2022-06-10--00-44-16_2__segment1.wav,1,1,10
41,2,2022-06-11 06:34:28,19.47,49.37,1009.06,16.98,75,1015,0.45,0.45,802,40,0,37.29,-121.95,2022-06-11--06-34-28_2__segment3.wav,1,1,10
42,2,2022-06-12 20:00:44,24.24,38.54,1006.73,19.07,67,1013,4.12,,800,0,0,37.29,-121.95,2022-06-12--20-00-44_2__segment5.wav,1,1,10
43,2,2022-06-07 04:12:58,17.81,42.62,1007.24,11.47,79,1013,1.54,,800,0,0,37.29,-121.95,2022-06-07--04-12-58_2__segment3.wav,1,2,10
44,1,2022-06-14 14:51:53,36.77,16.35,1008.03,29.54,23,1014,6.17,,711,20,0,37.29,-121.95,2022-06-14--14-51-53_1__segment2.wav,1,2,8
45,2,2022-06-07 02:14:33,18.73,42.65,1007.72,12.87,76,1013,1.54,,800,0,0,37.29,-121.95,2022-06-07--02-14-33_2__segment5.wav,1,2,10
46,1,2022-06-14 09:56:21,33.83,30.3,1010.01,22.65,44,1016,3.09,,800,0,0,37.29,-121.95,2022-06-14--09-56-21_1__segment1.wav,1,2,8
47,2,2022-06-06 07:29:46,21.31,48.81,1010.24,14.8,78,1016,2.57,,803,75,0,37.29,-121.95,2022-06-06--07-29-46_2__segment1.wav,1,2,10
48,2,2022-06-06 11:27:09,30.68,42.69,1010.04,21.63,57,1016,4.12,,801,20,0,37.29,-121.95,2022-06-06--11-27-09_2__segment3.wav,1,2,10
49,2,2022-06-06 11:27:09,30.68,42.69,1010.04,21.63,57,1016,4.12,,801,20,0,37.29,-121.95,2022-06-06--11-27-09_2__segment2.wav,1,2,10
50,2,2022-06-06 07:29:46,21.31,48.81,1010.24,14.8,78,1016,2.57,,803,75,0,37.29,-121.95,2022-06-06--07-29-46_2__segment0.wav,1,2,10
51,1,2022-06-14 09:56:21,33.83,30.3,1010.01,22.65,44,1016,3.09,,800,0,0,37.29,-121.95,2022-06-14--09-56-21_1__segment0.wav,1,2,8
52,2,2022-06-07 04:12:58,17.81,42.62,1007.24,11.47,79,1013,1.54,,800,0,0,37.29,-121.95,2022-06-07--04-12-58_2__segment2.wav,1,2,10
53,2,2022-06-07 02:14:33,18.73,42.65,1007.72,12.87,76,1013,1.54,,800,0,0,37.29,-121.95,2022-06-07--02-14-33_2__segment4.wav,1,2,10
54,1,2022-06-14 14:51:53,36.77,16.35,1008.03,29.54,23,1014,6.17,,711,20,0,37.29,-121.95,2022-06-14--14-51-53_1__segment3.wav,1,2,8
55,2,2022-06-12 20:00:44,24.24,38.54,1006.73,19.07,67,1013,4.12,,800,0,0,37.29,-121.95,2022-06-12--20-00-44_2__segment4.wav,1,1,10
56,2,2022-06-11 06:34:28,19.47,49.37,1009.06,16.98,75,1015,0.45,0.45,802,40,0,37.29,-121.95,2022-06-11--06-34-28_2__segment2.wav,1,1,10
57,2,2022-06-09 07:10:29,21.38,52.66,1007.1,13.28,85,1013,0.89,1.79,803,75,0,37.29,-121.95,2022-06-09--07-10-29_2__segment5.wav,0,0,10
58,2,2022-06-10 07:39:02,28.35,45.59,1007.96,21.1,62,1014,1.54,,711,20,0,37.29,-121.95,2022-06-10--07-39-02_2__segment0.wav,1,1,10
59,2,2022-06-10 00:44:16,21.27,45.4,1007.12,18.21,67,1013,1.54,,800,0,0,37.29,-121.95,2022-06-10--00-44-16_2__segment0.wav,1,1,10
60,1,2022-06-11 04:35:57,20.07,62.35,1008.33,16.81,77,1014,0.45,0.89,800,0,0,37.29,-121.95,2022-06-11--04-35-57_1__segment2.wav,1,1,8
61,1,2022-06-08 21:18:22,25.02,45.67,1007.11,17.02,73,1013,4.12,7.2,802,40,0,37.29,-121.95,2022-06-08--21-18-22_1__segment1.wav,0,0,8
62,2,2022-06-13 01:55:53,17.72,42.44,1008.0,12.67,77,1014,1.34,2.24,800,3,0,37.29,-121.95,2022-06-13--01-55-53_2__segment0.wav,1,1,10
63,1,2022-06-10 07:39:02,25.48,53.33,1008.18,21.1,62,1014,1.54,,711,20,0,37.29,-121.95,2022-06-10--07-39-02_1__segment5.wav,1,1,8
64,2,2022-06-07 17:03:33,27.21,34.45,1008.0,24.45,46,1013,9.77,,803,75,0,37.29,-121.95,2022-06-07--17-03-33_2__segment3.wav,1,2,10
65,2,2022-06-07 20:00:55,22.81,33.93,1008.68,19.46,43,1015,3.6,8.23,800,0,0,37.29,-121.95,2022-06-07--20-00-55_2__segment1.wav,1,2,10
66,2,2022-06-10 10:37:17,53.66,11.04,1007.86,29.85,41,1014,2.57,,801,20,0,37.29,-121.95,2022-06-10--10-37-17_2__segment3.wav,1,1,10
67,2,2022-06-09 12:07:14,53.76,10.59,1006.7,27.11,40,1012,3.09,,803,75,0,37.29,-121.95,2022-06-09--12-07-14_2__segment2.wav,0,0,10
68,2,2022-06-09 11:07:46,50.28,16.65,1007.1,23.74,52,1013,0.89,2.24,803,75,0,37.29,-121.95,2022-06-09--11-07-46_2__segment2.wav,0,0,10
69,2,2022-06-05 19:39:14,26.52,46.6,1007.81,21.44,76,1013,6.17,,803,75,0,37.29,-121.95,2022-06-05--19-39-14_2__segment2.wav,1,2,10
70,2,2022-06-11 02:37:45,19.69,51.26,1007.87,18.23,73,1014,1.54,,800,0,0,37.29,-121.95,2022-06-11--02-37-45_2__segment0.wav,1,1,10
71,2,2022-06-09 15:04:51,35.28,20.01,1006.03,30.33,35,1012,6.69,,802,40,0,37.29,-121.95,2022-06-09--15-04-51_2__segment0.wav,0,0,10
72,1,2022-06-09 10:08:51,31.93,38.1,1008.18,20.36,61,1013,3.6,,803,75,0,37.29,-121.95,2022-06-09--10-08-51_1__segment2.wav,0,0,8
73,2,2022-06-06 03:32:49,19.76,49.97,1009.88,15.48,76,1016,4.12,,804,100,0,37.29,-121.95,2022-06-06--03-32-49_2__segment5.wav,1,2,10
74,2,2022-06-12 10:30:28,49.19,18.15,1004.85,24.72,61,1010,2.57,,803,75,0,37.29,-121.95,2022-06-12--10-30-28_2__segment0.wav,1,1,10
75,1,2022-06-10 21:41:55,26.78,46.75,1008.74,22.23,59,1016,5.66,,802,40,0,37.29,-121.95,2022-06-10--21-41-55_1__segment5.wav,1,1,8
76,1,2022-06-13 22:04:26,23.02,35.02,1010.12,15.82,62,1016,3.6,,800,0,0,37.29,-121.95,2022-06-13--22-04-26_1__segment3.wav,1,2,8
77,2,2022-06-12 17:03:34,27.36,45.41,1005.19,21.99,68,1012,9.26,,803,75,0,37.29,-121.95,2022-06-12--17-03-34_2__segment5.wav,1,1,10
78,1,2022-06-09 21:46:36,26.26,40.48,1007.47,20.58,57,1013,4.12,,802,40,0,37.29,-121.95,2022-06-09--21-46-36_1__segment5.wav,1,1,8
79,2,2022-06-12 12:28:53,40.39,23.6,1005.11,25.8,61,1011,5.14,,803,75,0,37.29,-121.95,2022-06-12--12-28-53_2__segment1.wav,1,1,10
80,1,2022-06-09 14:06:06,38.99,18.2,1006.45,30.09,34,1012,6.17,,802,40,0,37.29,-121.95,2022-06-09--14-06-06_1__segment4.wav,0,0,8
81,2,2022-06-13 07:51:24,28.26,44.65,1010.31,14.57,73,1016,2.57,,801,20,0,37.29,-121.95,2022-06-13--07-51-24_2__segment1.wav,1,1,10
82,2,2022-06-08 09:50:41,29.78,38.38,1008.71,21.65,43,1015,4.12,,803,75,0,37.29,-121.95,2022-06-08--09-50-41_2__segment1.wav,1,2,10
83,1,2022-06-11 02:37:38,21.45,61.18,1008.07,18.23,73,1014,1.54,,800,0,0,37.29,-121.95,2022-06-11--02-37-38_1__segment1.wav,1,1,8
84,2,2022-06-06 20:19:29,22.91,39.32,1006.7,19.41,58,1013,5.14,,801,20,0,37.29,-121.95,2022-06-06--20-19-29_2__segment0.wav,1,2,10
85,2,2022-06-09 05:11:59,15.84,55.31,1007.14,12.11,88,1013,2.06,,800,0,0,37.29,-121.95,2022-06-09--05-11-59_2__segment2.wav,0,0,10
86,2,2022-06-11 00:39:26,21.73,54.6,1009.34,19.87,68,1015,2.57,,800,0,0,37.29,-121.95,2022-06-11--00-39-26_2__segment2.wav,1,1,10
87,2,2022-06-07 06:11:25,18.65,46.35,1007.54,10.75,82,1013,0.89,1.34,800,0,0,37.29,-121.95,2022-06-07--06-11-25_2__segment5.wav,1,2,10
88,1,2022-06-14 08:56:49,30.05,37.19,1010.12,20.02,52,1015,2.57,,800,0,0,37.29,-121.95,2022-06-14--08-56-49_1__segment3.wav,1,2,8
89,2,2022-06-10 16:32:41,36.18,24.95,1006.1,34.23,31,1012,7.72,,802,40,0,37.29,-121.95,2022-06-10--16-32-41_2__segment1.wav,1,1,10
90,1,2022-06-10 23:40:10,24.41,53.4,1009.65,20.85,66,1016,3.09,6.69,800,0,0,37.29,-121.95,2022-06-10--23-40-10_1__segment4.wav,1,1,8
91,1,2022-06-10 05:40:10,21.29,51.23,1007.11,15.9,75,1013,0.0,,800,0,0,37.29,-121.95,2022-06-10--05-40-10_1__segment1.wav,1,1,8
92,1,2022-06-10 03:41:45,21.53,51.6,1006.44,16.5,73,1012,0.0,,800,0,0,37.29,-121.95,2022-06-10--03-41-45_1__segment2.wav,1,1,8
93,2,2022-06-11 07:34:47,26.9,48.8,1009.13,20.29,68,1015,0.45,0.45,802,40,0,37.29,-121.95,2022-06-11--07-34-47_2__segment5.wav,1,1,10
94,2,2022-06-09 00:15:57,18.52,47.68,1007.37,14.58,82,1013,5.14,,801,20,0,37.29,-121.95,2022-06-09--00-15-57_2__segment0.wav,0,0,10
95,2,2022-06-10 02:42:41,20.16,48.19,1006.51,16.96,72,1012,0.45,1.34,800,0,0,37.29,-121.95,2022-06-10--02-42-41_2__segment3.wav,1,1,10
96,2,2022-06-08 01:55:59,19.07,36.97,1008.67,13.74,59,1015,0.89,1.79,800,0,0,37.29,-121.95,2022-06-08--01-55-59_2__segment4.wav,1,2,10
97,2,2022-06-12 09:31:04,39.37,28.99,1005.51,22.56,70,1011,2.06,,803,75,0,37.29,-121.95,2022-06-12--09-31-04_2__segment4.wav,1,1,10
98,2,2022-06-10 13:35:11,48.63,11.15,1006.54,34.56,30,1013,6.17,,801,20,0,37.29,-121.95,2022-06-10--13-35-11_2__segment4.wav,1,1,10
99,1,2022-06-14 13:52:40,39.14,15.32,1008.65,28.86,25,1015,5.66,,711,20,0,37.29,-121.95,2022-06-14--13-52-40_1__segment4.wav,1,2,8
100,2,2022-06-10 02:42:41,20.16,48.19,1006.51,16.96,72,1012,0.45,1.34,800,0,0,37.29,-121.95,2022-06-10--02-42-41_2__segment1.wav,1,1,10
101,2,2022-06-12 00:37:49,22.28,58.4,1006.86,18.81,83,1013,3.6,,801,20,0,37.29,-121.95,2022-06-12--00-37-49_2__segment4.wav,1,1,10
102,2,2022-06-09 00:15:57,18.52,47.68,1007.37,14.58,82,1013,5.14,,801,20,0,37.29,-121.95,2022-06-09--00-15-57_2__segment2.wav,0,0,10
103,1,2022-06-11 01:38:28,22.45,58.39,1008.72,19.14,71,1014,3.6,,800,0,0,37.29,-121.95,2022-06-11--01-38-28_1__segment5.wav,1,1,8
104,1,2022-06-10 03:41:45,21.53,51.6,1006.44,16.5,73,1012,0.0,,800,0,0,37.29,-121.95,2022-06-10--03-41-45_1__segment0.wav,1,1,8
105,1,2022-06-10 05:40:10,21.29,51.23,1007.11,15.9,75,1013,0.0,,800,0,0,37.29,-121.95,2022-06-10--05-40-10_1__segment3.wav,1,1,8
106,2,2022-06-12 23:57:28,19.6,54.38,1007.63,13.75,75,1014,2.06,,800,0,0,37.29,-121.95,2022-06-12--23-57-28_2__segment5.wav,1,1,10
107,2,2022-06-11 00:39:26,21.73,54.6,1009.34,19.87,68,1015,2.57,,800,0,0,37.29,-121.95,2022-06-11--00-39-26_2__segment0.wav,1,1,10
108,2,2022-06-10 16:32:41,36.18,24.95,1006.1,34.23,31,1012,7.72,,802,40,0,37.29,-121.95,2022-06-10--16-32-41_2__segment3.wav,1,1,10
109,1,2022-06-14 08:56:49,30.05,37.19,1010.12,20.02,52,1015,2.57,,800,0,0,37.29,-121.95,2022-06-14--08-56-49_1__segment1.wav,1,2,8
110,2,2022-06-09 05:11:59,15.84,55.31,1007.14,12.11,88,1013,2.06,,800,0,0,37.29,-121.95,2022-06-09--05-11-59_2__segment0.wav,0,0,10
111,2,2022-06-06 20:19:29,22.91,39.32,1006.7,19.41,58,1013,5.14,,801,20,0,37.29,-121.95,2022-06-06--20-19-29_2__segment2.wav,1,2,10
112,2,2022-06-08 09:50:41,29.78,38.38,1008.71,21.65,43,1015,4.12,,803,75,0,37.29,-121.95,2022-06-08--09-50-41_2__segment3.wav,1,2,10
113,1,2022-06-11 02:37:38,21.45,61.18,1008.07,18.23,73,1014,1.54,,800,0,0,37.29,-121.95,2022-06-11--02-37-38_1__segment3.wav,1,1,8
114,2,2022-06-06 05:31:11,19.49,48.95,1009.87,14.46,76,1016,4.12,,803,75,0,37.29,-121.95,2022-06-06--05-31-11_2__segment4.wav,1,2,10
115,2,2022-06-13 07:51:24,28.26,44.65,1010.31,14.57,73,1016,2.57,,801,20,0,37.29,-121.95,2022-06-13--07-51-24_2__segment3.wav,1,1,10
116,1,2022-06-14 04:58:40,21.0,38.02,1009.79,11.58,78,1015,1.54,,800,0,0,37.29,-121.95,2022-06-14--04-58-40_1__segment5.wav,1,2,8
117,2,2022-06-06 17:22:09,27.22,32.43,1007.19,24.65,40,1013,6.69,,801,20,0,37.29,-121.95,2022-06-06--17-22-09_2__segment5.wav,1,2,10
118,1,2022-06-13 22:04:26,23.02,35.02,1010.12,15.82,62,1016,3.6,,800,0,0,37.29,-121.95,2022-06-13--22-04-26_1__segment1.wav,1,2,8
119,1,2022-06-09 12:07:53,38.69,25.04,1007.12,27.06,40,1012,3.09,,803,75,0,37.29,-121.95,2022-06-09--12-07-53_1__segment5.wav,0,0,8
120,2,2022-06-12 12:28:53,40.39,23.6,1005.11,25.8,61,1011,5.14,,803,75,0,37.29,-121.95,2022-06-12--12-28-53_2__segment3.wav,1,1,10
121,1,2022-06-09 10:08:51,31.93,38.1,1008.18,20.36,61,1013,3.6,,803,75,0,37.29,-121.95,2022-06-09--10-08-51_1__segment0.wav,0,0,8
122,2,2022-06-08 20:19:23,23.82,44.76,1006.27,19.4,64,1013,6.69,,803,75,0,37.29,-121.95,2022-06-08--20-19-23_2__segment4.wav,0,0,10
123,2,2022-06-12 10:30:28,49.19,18.15,1004.85,24.72,61,1010,2.57,,803,75,0,37.29,-121.95,2022-06-12--10-30-28_2__segment2.wav,1,1,10
124,2,2022-06-09 15:04:51,35.28,20.01,1006.03,30.33,35,1012,6.69,,802,40,0,37.29,-121.95,2022-06-09--15-04-51_2__segment2.wav,0,0,10
125,2,2022-06-05 19:39:14,26.52,46.6,1007.81,21.44,76,1013,6.17,,803,75,0,37.29,-121.95,2022-06-05--19-39-14_2__segment0.wav,1,2,10
126,1,2022-06-14 03:00:15,20.81,38.58,1009.65,12.27,75,1015,0.45,0.89,802,40,0,37.29,-121.95,2022-06-14--03-00-15_1__segment5.wav,1,2,8
127,2,2022-06-11 02:37:45,19.69,51.26,1007.87,18.23,73,1014,1.54,,800,0,0,37.29,-121.95,2022-06-11--02-37-45_2__segment2.wav,1,1,10
128,1,2022-06-08 22:17:32,23.89,46.37,1007.54,15.93,78,1013,4.12,,801,20,0,37.29,-121.95,2022-06-08--22-17-32_1__segment5.wav,0,0,8
129,2,2022-06-09 11:07:46,50.28,16.65,1007.1,23.74,52,1013,0.89,2.24,803,75,0,37.29,-121.95,2022-06-09--11-07-46_2__segment0.wav,0,0,10
130,2,2022-06-07 18:02:41,26.01,34.5,1008.06,22.95,46,1014,9.77,,803,75,0,37.29,-121.95,2022-06-07--18-02-41_2__segment4.wav,1,2,10
131,2,2022-06-09 12:07:14,53.76,10.59,1006.7,27.11,40,1012,3.09,,803,75,0,37.29,-121.95,2022-06-09--12-07-14_2__segment0.wav,0,0,10
132,2,2022-06-06 19:20:21,24.73,36.9,1006.59,22.07,50,1012,5.66,,800,0,0,37.29,-121.95,2022-06-06--19-20-21_2__segment5.wav,1,2,10
133,2,2022-06-12 06:33:03,21.3,57.32,1005.19,17.43,86,1011,3.09,,801,20,0,37.29,-121.95,2022-06-12--06-33-03_2__segment5.wav,1,1,10
134,2,2022-06-10 10:37:17,53.66,11.04,1007.86,29.85,41,1014,2.57,,801,20,0,37.29,-121.95,2022-06-10--10-37-17_2__segment1.wav,1,1,10
135,2,2022-06-07 20:00:55,22.81,33.93,1008.68,19.46,43,1015,3.6,8.23,800,0,0,37.29,-121.95,2022-06-07--20-00-55_2__segment3.wav,1,2,10
136,2,2022-06-07 17:03:33,27.21,34.45,1008.0,24.45,46,1013,9.77,,803,75,0,37.29,-121.95,2022-06-07--17-03-33_2__segment1.wav,1,2,10
137,2,2022-06-10 23:40:18,22.86,49.8,1009.53,20.85,66,1016,3.09,6.69,800,0,0,37.29,-121.95,2022-06-10--23-40-18_2__segment5.wav,1,1,10
138,1,2022-06-08 21:18:22,25.02,45.67,1007.11,17.02,73,1013,4.12,7.2,802,40,0,37.29,-121.95,2022-06-08--21-18-22_1__segment3.wav,0,0,8
139,1,2022-06-11 04:35:57,20.07,62.35,1008.33,16.81,77,1014,0.45,0.89,800,0,0,37.29,-121.95,2022-06-11--04-35-57_1__segment0.wav,1,1,8
140,2,2022-06-12 07:32:30,26.82,55.46,1005.53,18.89,83,1011,2.57,,801,20,0,37.29,-121.95,2022-06-12--07-32-30_2__segment5.wav,1,1,10
141,2,2022-06-13 01:55:53,17.72,42.44,1008.0,12.67,77,1014,1.34,2.24,800,3,0,37.29,-121.95,2022-06-13--01-55-53_2__segment2.wav,1,1,10
142,1,2022-06-14 05:57:50,21.7,39.05,1010.04,11.44,78,1016,0.45,0.45,802,40,0,37.29,-121.95,2022-06-14--05-57-50_1__segment4.wav,1,2,8
143,2,2022-06-11 06:34:28,19.47,49.37,1009.06,16.98,75,1015,0.45,0.45,802,40,0,37.29,-121.95,2022-06-11--06-34-28_2__segment0.wav,1,1,10
144,2,2022-06-10 00:44:16,21.27,45.4,1007.12,18.21,67,1013,1.54,,800,0,0,37.29,-121.95,2022-06-10--00-44-16_2__segment2.wav,1,1,10
145,2,2022-06-10 07:39:02,28.35,45.59,1007.96,21.1,62,1014,1.54,,711,20,0,37.29,-121.95,2022-06-10--07-39-02_2__segment2.wav,1,1,10
146,1,2022-06-14 14:51:53,36.77,16.35,1008.03,29.54,23,1014,6.17,,711,20,0,37.29,-121.95,2022-06-14--14-51-53_1__segment1.wav,1,2,8
147,2,2022-06-07 04:12:58,17.81,42.62,1007.24,11.47,79,1013,1.54,,800,0,0,37.29,-121.95,2022-06-07--04-12-58_2__segment0.wav,1,2,10
148,2,2022-06-11 05:35:14,18.64,50.79,1008.71,16.33,77,1014,0.45,0.45,800,0,0,37.29,-121.95,2022-06-11--05-35-14_2__segment5.wav,1,1,10
149,2,2022-06-09 19:48:31,28.52,27.96,1005.75,25.18,41,1012,6.69,,803,75,0,37.29,-121.95,2022-06-09--19-48-31_2__segment4.wav,1,1,10
150,2,2022-06-06 11:27:09,30.68,42.69,1010.04,21.63,57,1016,4.12,,801,20,0,37.29,-121.95,2022-06-06--11-27-09_2__segment0.wav,1,2,10
151,2,2022-06-11 11:33:12,54.09,7.9,1008.49,30.8,30,1015,4.02,4.02,801,20,0,37.29,-121.95,2022-06-11--11-33-12_2__segment5.wav,1,1,10
152,2,2022-06-12 11:29:44,41.62,22.73,1004.96,26.2,58,1011,3.6,,803,75,0,37.29,-121.95,2022-06-12--11-29-44_2__segment5.wav,1,1,10
153,1,2022-06-14 09:56:21,33.83,30.3,1010.01,22.65,44,1016,3.09,,800,0,0,37.29,-121.95,2022-06-14--09-56-21_1__segment2.wav,1,2,8
154,2,2022-06-06 07:29:46,21.31,48.81,1010.24,14.8,78,1016,2.57,,803,75,0,37.29,-121.95,2022-06-06--07-29-46_2__segment2.wav,1,2,10
155,2,2022-06-12 11:29:44,41.62,22.73,1004.96,26.2,58,1011,3.6,,803,75,0,37.29,-121.95,2022-06-12--11-29-44_2__segment4.wav,1,1,10
156,2,2022-06-11 11:33:12,54.09,7.9,1008.49,30.8,30,1015,4.02,4.02,801,20,0,37.29,-121.95,2022-06-11--11-33-12_2__segment4.wav,1,1,10
